layer,figure,m,k,g,n,error_mean,error_std,bound_mean,bound_std
27,steering,4,1,0,95,0.1927894191866762,0.36797507235655175,27.902101584301477,2.877836924081268
27,steering,4,2,0,95,0.7079603224664637,1.2849746206624373,29.11835425227367,2.052961131181538
27,steering,4,4,0,95,0.7889465226132603,1.3554599388813835,30.361388905143347,1.3574201810040878
27,steering,4,4,4,95,1.0883562526637436,1.750563611533573,30.86898670605539,1.4980607522652079
27,steering,4,4,12,95,1.3801048105636624,2.1969084473825866,31.172288472079643,1.499666739295537
27,steering,4,4,28,95,2.6636370663311335,3.6162280443214883,31.653390178093396,1.6228785936653376
27,steering,4,4,60,95,4.099957502777938,4.020624154628234,32.07137438712348,1.6578062744338407
27,steering,4,4,124,95,6.040991929437387,3.7422107991425713,32.328112430460436,1.5622944514771897
27,steering,4,8,0,95,0.9914682848534773,1.764131622173688,30.4418578945556,1.3892461139437895
27,steering,4,16,0,95,1.2032333223120102,1.9120326774145127,30.076652604963478,1.4566621702664484
27,steering,4,32,0,95,1.1287635645980434,1.6109707765887125,29.48806469200425,1.27513486908443
27,steering,4,64,0,95,1.0783793956910959,1.5852443476399922,29.438355734358865,1.2992890202693377
27,steering,4,128,0,95,1.088923911640739,1.6268747795961753,29.40303300433014,1.2579156813374162
34,prompt,1,1,0,400,1.563260949900661,7.514086747125949,137.71399530147937,23.60035948215726
34,prompt,2,1,0,400,1.7393334143409596,8.744873290503293,145.913394061909,15.18072349341691
34,prompt,4,1,0,400,2.648090981810335,10.673353121144988,146.36480837080757,14.393466395351215
34,prompt,8,1,0,400,3.806193831667527,12.999996338413624,147.7245799676762,13.35792051992818
34,prompt,16,1,0,400,3.806224883572609,13.000031359590118,147.7282842749052,13.355479129511975
34,prompt,32,1,0,400,4.052038808319545,13.170576879119649,148.3512637703422,12.97473282251877
34,prompt,64,1,0,400,4.588096498994232,14.088369445546832,150.2467669814,12.071131328772118
34,prompt,128,1,0,400,7.253021546214184,17.52073431370835,150.31873542344422,12.03273242331464
34,steering,4,1,0,95,1.1207240120642623,6.238339679647525,160.3340535070021,13.178275331405978
34,steering,4,2,0,95,1.3753386681102637,6.662229687077205,160.44423363528276,13.071222192341029
34,steering,4,4,0,95,1.7378658362907027,6.9764979828486196,160.38959749136632,13.154201116311892
34,steering,4,4,4,95,1.7378658362907031,6.97649798284862,160.38959749136632,13.154201116311892
34,steering,4,4,12,95,1.7378658539636478,6.976497978399407,160.38959749136632,13.154201116311892
34,steering,4,4,28,95,1.7378665288975157,6.97649780848593,160.38959749136632,13.154201116311892
34,steering,4,4,60,95,1.7378665308662957,6.976497812802903,160.39142761372025,13.152530894045222
34,steering,4,4,124,95,1.7378664191738755,6.976497793114761,160.40298692809503,13.150686375133667
34,steering,4,8,0,95,1.7378658362907065,6.97649798284862,160.38959749136632,13.154201116311892
34,steering,4,16,0,95,1.7357013700907493,6.977002619981176,160.38959749136632,13.154201116311892
34,steering,4,32,0,95,1.7354264399262038,6.977071278130581,160.41553914117242,13.16243611311925
34,steering,4,64,0,95,1.7354264399249293,6.977071278131226,160.4155391422217,13.162436111913165
34,steering,4,128,0,95,1.735432929374626,6.977069647107184,160.48733923611505,13.131726438847936
